pole_id,lat,lon,feeder_id,dt_id,seq_on_line,parent_pole_id,pole_type,ward,pincode,device_id
P-000001,12.976404,77.598193,F-01-01,D-0001,1,,LT-9m-Steel,W-014,560034,KSPDB-SD01-D-0001-0001
P-000002,12.976659,77.598314,F-01-01,D-0001,2,P-000001,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0002
P-000003,12.976829,77.598387,F-01-01,D-0001,3,P-000002,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0003
P-000004,12.977128,77.598491,F-01-01,D-0001,4,P-000003,LT-9m-Steel,W-014,560034,KSPDB-SD01-D-0001-0004
P-000005,12.977366,77.598705,F-01-01,D-0001,5,P-000004,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0005
P-000006,12.977544,77.598821,F-01-01,D-0001,6,P-000005,LT-9m-PCC,W-014,560034,KSPDB-SD01-D-0001-0006
P-000007,12.977778,77.599087,F-01-01,D-0001,7,P-000006,LT-9m-Steel,W-014,560034,KSPDB-SD01-D-0001-0007
P-000008,12.977866,77.599219,F-01-01,D-0001,8,P-000007,LT-8m-PCC,W-014,560034,KSPDB-SD01-D-0001-0008
P-000009,12.977956,77.59954,F-01-01,D-0001,9,P-000008,LT-9m-PCC,W-014,560034,KSPDB-SD01-D-0001-0009
P-000010,12.978068,77.599843,F-01-01,D-0001,10,P-000009,LT-9m-PCC,W-014,560034,KSPDB-SD01-D-0001-0010
P-000011,12.9782,77.600067,F-01-01,D-0001,11,P-000010,LT-9m-Steel,W-014,560034,KSPDB-SD01-D-0001-0011
P-000012,12.978376,77.600203,F-01-01,D-0001,12,P-000011,LT-9m-Steel,W-014,560034,KSPDB-SD01-D-0001-0012
P-000013,12.97864,77.60039,F-01-01,D-0001,13,P-000012,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0013
P-000014,12.978926,77.600554,F-01-01,D-0001,14,P-000013,LT-9m-PCC,W-014,560034,KSPDB-SD01-D-0001-0014
P-000015,12.97919,77.600685,F-01-01,D-0001,15,P-000014,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0015
P-000016,12.979318,77.600823,F-01-01,D-0001,16,P-000015,LT-9m-PCC,W-014,,KSPDB-SD01-D-0001-0016
P-000017,12.979403,77.600953,F-01-01,D-0001,17,P-000016,LT-9m-PCC,W-014,560034,KSPDB-SD01-D-0001-0017
P-000018,12.979461,77.601103,F-01-01,D-0001,18,P-000017,LT-8m-PCC,W-014,560034,KSPDB-SD01-D-0001-0018
P-000019,12.979516,77.601382,F-01-01,D-0001,19,P-000018,LT-9m-PCC,W-014,560034,KSPDB-SD01-D-0001-0019
P-000020,12.979536,77.601605,F-01-01,D-0001,20,P-000019,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0020
P-000021,12.979509,77.601803,F-01-01,D-0001,21,P-000020,LT-8m-Steel,W-014,560034,KSPDB-SD01-D-0001-0021
