dt_id,feeder_id,lat,lon,capacity_kva,households_served
D-0001,F-01-01,12.976265880583842,77.59816509601146,160,143
D-0002,F-01-01,12.97399704493262,77.5940143629213,100,583
D-0003,F-01-01,12.97300997690362,77.59701088237213,400,165
D-0004,F-01-01,12.974425332071052,77.58903390424346,250,309
D-0005,F-01-01,12.968628858192735,77.5957077622174,160,594
D-0006,F-01-02,12.964882902931123,77.58832708078602,400,182
D-0007,F-01-02,12.966824963074329,77.57905369077127,400,125
D-0008,F-01-02,12.963412044109278,77.58342003314303,250,193
D-0009,F-01-02,12.958809871465483,77.58767386227636,250,84
D-0010,F-01-02,12.96454410694517,77.57882095622591,160,98
D-0011,F-02-01,13.005745950496905,77.54418687750228,250,296
D-0012,F-02-01,13.00318471467033,77.54477234759082,400,89
D-0013,F-02-01,13.004335974013198,77.54572104501302,400,244
D-0014,F-02-01,13.008792835392718,77.54402633676504,400,64
D-0015,F-02-01,13.004898759192061,77.54383284904584,160,134
D-0016,F-02-02,12.982013285183577,77.54889032778954,160,249
D-0017,F-02-02,12.977341458792798,77.54440500857466,160,163
D-0018,F-02-02,12.97604441434449,77.55145132549012,160,133
D-0019,F-02-02,12.978092628102909,77.55038603532005,100,139
D-0020,F-02-02,12.975849457743802,77.55348825964317,100,137
D-0021,F-03-01,12.959902145174743,77.63928696503753,250,232
D-0022,F-03-01,12.961428647893458,77.6412514735044,250,83
D-0023,F-03-01,12.963172410359613,77.6387633609114,250,199
D-0024,F-03-01,12.966502701706089,77.64332839913678,160,95
D-0025,F-03-01,12.959072793614347,77.64214180435755,250,155
D-0026,F-03-02,12.973610745108372,77.65349369698365,250,154
D-0027,F-03-02,12.97481893898849,77.64963693086467,160,211
D-0028,F-03-02,12.975349471532809,77.64582169922548,400,85
D-0029,F-03-02,12.971061679657305,77.64911265293246,250,449
D-0030,F-03-02,12.97252280308806,77.64925370814085,100,181
D-0031,F-04-01,13.00054090802062,77.64410898854854,400,50
D-0032,F-04-01,13.001156622605231,77.64479254777108,400,100
D-0033,F-04-01,13.006044712554422,77.64702150307717,100,76
D-0034,F-04-01,13.003051263012921,77.64851624872365,160,84
D-0035,F-04-01,13.000326720465814,77.64369806711406,100,331
D-0036,F-04-02,12.982853032363641,77.64476662420333,250,174
D-0037,F-04-02,12.984582020123533,77.63586611783916,160,360
D-0038,F-04-02,12.976800053903757,77.6369669340754,160,58
D-0039,F-04-02,12.981950250151133,77.63293012192311,250,73
D-0040,F-04-02,12.979028898558253,77.63441668403391,250,211
